X,Y,Cluster
1.2214284928456451,-1.9391494211942892,3
-9.534844184287357,3.9670123791137124,1
-4.90698547493434,-10.014633073359365,2
-9.900948060278466,5.381802258919976,1
8.029080460376347,3.736580804310822,0
-10.108517813058338,4.017579841893543,1
0.6672809753819013,-0.3907845129777481,3
2.0826126001144596,-2.396102340697902,3
-8.330100754286537,5.380151492212646,1
-9.547402953121878,3.998916219192135,1
0.5750668176249685,-0.6918961859585364,3
-8.77055011737009,5.123454190917389,1
9.29220147288535,2.6398076074419534,0
-9.246811125656773,5.032497313949198,1
2.2949108744718267,-3.5071848349801655,3
-3.2273586307872955,-8.474582651936181,2
9.583773819527764,1.9196855111591078,0
1.4123499065494838,-0.5860113714116854,3
9.226856993300455,2.5532093693384317,0
-9.650254875772767,4.578432086015249,1
-2.413709615051746,-9.922377835182637,2
10.325330227788356,3.103037600186692,0
-8.441124712434188,3.634414814409208,1
-10.074262593018243,4.707058300297017,1
-3.153692870272472,-8.938383461461358,2
9.01012730381826,3.323345011013969,0
-4.599768897940821,-7.9610377703987805,2
11.25497741681259,4.118259582604735,0
1.5818368024124445,-0.4124045276443662,3
-0.5579308544302475,-0.04144192213863995,3
1.9413824126302508,0.264574339906406,3
-2.4898258407573364,-6.980410311034648,2
-9.396033813719978,6.176534765519654,1
-9.12376807174808,3.9904313425965148,1
9.2545391681306,4.29594734755163,0
-9.287018141396201,3.5320638916720184,1
1.2816665750444631,-2.25642580526882,3
-2.7121897425065185,-9.494427852389883,2
1.958230722842357,0.2642007986615391,3
-8.293512342049361,5.108632127579429,1
-8.480608427803876,6.731366775136949,1
0.6724034059845179,-1.4453759204050536,3
-3.0234572971602662,-9.965235497743215,2
8.31551189696326,3.5633960502761997,0
10.053096957870142,3.2593997712659672,0
9.228214045620946,3.567031115203132,0
9.550113100831267,4.939958621223186,0
9.608495867702148,1.5614189880571936,0
7.79325505170118,3.5496679461976335,0
-10.70236661754239,5.706852635734873,1
-9.921061909460105,4.7439991282202545,1
8.707560238316496,5.1234331725158695,0
-0.3267470156545591,0.2532091567120105,3
8.3389151910005,1.9552909037009099,0
11.193753224334445,2.937543427716252,0
1.478138060715791,-0.3028781022722059,3
9.207802729173936,2.927365042111007,0
-8.65925627285594,5.657321032568005,1
-9.792091627944226,3.276345922391338,1
8.918382314344454,3.3397452754727195,0
0.3642479056856682,0.4373693404651464,3
-10.184062009182425,5.078463781175762,1
1.4980095874279873,-0.4049902076932992,3
2.263908050886886,-1.1860269654987323,3
-10.194797607585416,3.9480650269299806,1
9.996674445101288,4.94684151697237,0
8.582533577729617,4.780772126745449,0
-9.370348527504104,4.162074026989052,1
-0.13771345766561716,-1.2362764635302521,3
-3.327244719643735,-8.755586273933368,2
10.707933064544726,3.8980005877601593,0
9.450896280499856,3.7052691805560563,0
-9.181658420520453,4.699079094390014,1
-10.918865486037536,3.098699370892219,1
-2.2279744662322956,-8.351176583187321,2
9.14263622325057,4.551758777526748,0
2.5576181443255734,-0.7535432425319684,3
-8.74164456354229,4.498035084878343,1
-7.640909523205485,5.082556511416515,1
-3.2786497645301513,-9.428659589380967,2
-10.985340170229952,5.3045759749985795,1
-10.265492712686582,5.25034064063158,1
-3.8287634880956283,-8.951431044044966,2
1.6512137908762128,-1.8473473708676866,3
-1.6765577393704096,-8.595632701411889,2
1.4932735922763976,-1.162689180534668,3
0.4891085043502027,-0.8498908960937004,3
9.84907110191939,1.8206879025237281,0
-8.042751201221858,5.170421246398755,1
9.025593527902572,2.3764608229621786,0
3.2651293252168694,-0.37317757994204925,3
-9.842672428890374,5.367260087502709,1
2.0467794429077344,-1.4339548206825483,3
10.837302484123525,3.2237919605098804,0
-8.823537336018624,3.7732242568612486,1
10.581152563151264,4.105666447917215,0
1.030454771018237,-1.849637896952735,3
-1.7518829262186728,-9.112764827390826,2
-9.089620865790911,5.305377589020877,1
-2.842009742780345,-8.34655990835085,2
-12.333379102983258,4.965794295031943,1
1.4986870278195668,-0.07535757346669802,3
-10.72422729830784,4.269783632557854,1
-9.239234596281243,5.3396416212366455,1
-9.980128247527164,5.305781995285514,1
-3.136174905873572,-9.04974813043853,2
-11.252739948669522,4.673455811240438,1
8.587169693583803,3.8903626671203493,0
-1.2558548867736008,-8.186751787706612,2
0.5785807415305775,-0.6561940147680072,3
11.243565513826367,4.427935437915259,0
-2.7358165033018937,-8.351092218638799,2
-2.1821370113508065,-8.185127855154523,2
9.699123622316925,2.9563457469801047,0
-2.3055140940353898,-8.521993746794433,2
9.662001240308674,4.916897269346597,0
7.8342720676055455,3.4080344325010072,0
-9.890189727171368,5.618119929401964,1
9.846734434784379,2.051540135895011,0
-2.666148743177772,-8.832903069474352,2
-9.279352595890884,5.161132940821218,1
1.8868599898707137,-1.2026006936822842,3
1.8169446554596484,-3.251417029023422,3
0.7944010261137637,-0.6979987499599636,3
10.425920363593086,2.7632881811084338,0
1.1003995148102148,-2.907747794294495,3
-3.015519990068433,-9.08917216417255,2
9.609069605988239,4.198545571927251,0
-2.6795795190541747,-8.371818893214588,2
3.318614798966557,-3.133387913235534,3
-8.568238358799967,3.9676536678411476,1
-3.247631554542422,-9.041755544948664,2
-8.3323040612017,6.443535913731065,1
-10.484602312580952,4.797287830362722,1
